line,source_file,bucket,destination,reason,utterance
1,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,1-bare-arithmetic,agent router go to math,no CalcIntent operation covers it,What is the sum of 57 and 89?
2,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,1-bare-arithmetic,agent router go to math,no CalcIntent operation covers it,How do you divide 345 by 15?
3,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,3-word-problem,agent router go to math,no CalcIntent operation covers it,"If I buy 3 apples at $1.20 each and 2 bananas at $0.75 each, how much will the total cost be?"
4,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,How do you solve the equation 3x + 7 = 22?
5,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,What’s the value of x in the quadratic equation x^2 + 5x - 6 = 0?
6,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,"If I know the area of a rectangle is 48 and the length is 12, how do I find the width?"
7,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,What is the area of a circle with a radius of 6?
8,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,"How do you calculate the perimeter of a triangle with sides of 3 cm, 4 cm, and 5 cm?"
9,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,"If a triangle has two equal sides and an angle of 45 degrees, what type of triangle is this?"
10,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,How do you find the sine of a 30-degree angle?
11,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,What’s the difference between sine and cosine in a right-angled triangle?
12,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,Can you explain how to use the Pythagorean theorem to find the hypotenuse?
13,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,What’s the derivative of f(x) = 3x squared + 4x?
14,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,2-symbolic,agent router go to math,no CalcIntent operation covers it,How do you find the integral of sin of x?
15,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,3-word-problem,agent router go to math,no CalcIntent operation covers it,"If a car travels at a speed of 60 miles per hour for 2.5 hours, how far does it travel?"
16,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,3-word-problem,agent router go to math,no CalcIntent operation covers it,"A tank can be filled by a pipe in 5 hours, but it can be emptied by another pipe in 7 hours. If both pipes are opened, how long will it take to fill the tank?"
17,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,1-bare-arithmetic,agent router go to math,no CalcIntent operation covers it,What is 253 plus 147?
18,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,1-bare-arithmetic,agent router go to math,no CalcIntent operation covers it,How do you subtract 89 from 123?
19,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,3-word-problem,agent router go to math,no CalcIntent operation covers it,"If you multiply 56 by 8, what do you get?"
20,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,1-bare-arithmetic,agent router go to math,no CalcIntent operation covers it,What is 45 divided by 9?
21,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,1-bare-arithmetic,agent router go to math,no CalcIntent operation covers it,"How do you calculate the total of 34, 67, and 129?"
22,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,1-bare-arithmetic,agent router go to math,no CalcIntent operation covers it,What’s the result of 25 times 16?
23,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,3-word-problem,agent router go to math,no CalcIntent operation covers it,"If you add 327 and 548, what’s the sum?"
24,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,1-bare-arithmetic,agent router go to math,no CalcIntent operation covers it,How do you subtract 492 from 980?
25,src/ephemera/prompts/data/synthetic-data-agent-routing-math.txt,1-bare-arithmetic,agent router go to math,no CalcIntent operation covers it,What is the product of 64 and 23?
